date,time,location,result,rarity,pity,banner,player_id,banner_type,pity_4
2022-12-07,00:10:59,China,skyrider_sword,3,1,Standard,player_bc0074db6c,200,1
2022-12-07,00:11:02,China,harbinger_of_dawn,3,2,Standard,player_bc0074db6c,200,2
2022-12-07,13:01:25,China,thrilling_tales_of_dragon_slayers,3,1,Character Event,player_bc0074db6c,301,1
2022-12-07,13:01:28,China,slingshot,3,2,Character Event,player_bc0074db6c,301,2
2022-12-07,13:01:30,China,ferrous_shadow,3,3,Character Event,player_bc0074db6c,301,3
2022-12-07,13:01:39,China,bloodtainted_greatsword,3,4,Character Event,player_bc0074db6c,301,4
2022-12-07,13:01:42,China,raven_bow,3,5,Character Event,player_bc0074db6c,301,5
2022-12-07,13:01:44,China,debate_club,3,6,Character Event,player_bc0074db6c,301,6
2022-12-07,13:01:47,China,thrilling_tales_of_dragon_slayers,3,7,Character Event,player_bc0074db6c,301,7
2022-12-07,13:01:49,China,favonius_greatsword,4,8,Character Event,player_bc0074db6c,301,8
2022-12-07,13:01:51,China,sharpshooters_oath,3,9,Character Event,player_bc0074db6c,301,1
2022-12-07,13:01:53,China,harbinger_of_dawn,3,10,Character Event,player_bc0074db6c,301,2
2022-12-07,13:01:56,China,raven_bow,3,11,Character Event,player_bc0074db6c,301,3
2022-12-07,13:01:58,China,debate_club,3,12,Character Event,player_bc0074db6c,301,4
2022-12-07,13:02:01,China,yanfei,4,13,Character Event,player_bc0074db6c,301,5
2022-12-07,13:02:04,China,debate_club,3,14,Character Event,player_bc0074db6c,301,1
2022-12-07,13:02:07,China,black_tassel,3,15,Character Event,player_bc0074db6c,301,2
2022-12-07,13:02:09,China,skyrider_sword,3,16,Character Event,player_bc0074db6c,301,3
2022-12-07,13:02:12,China,debate_club,3,17,Character Event,player_bc0074db6c,301,4
2022-12-07,13:02:15,China,sharpshooters_oath,3,18,Character Event,player_bc0074db6c,301,5
2022-12-07,13:02:17,China,debate_club,3,19,Character Event,player_bc0074db6c,301,6
2022-12-07,13:02:24,China,skyrider_sword,3,20,Character Event,player_bc0074db6c,301,7
2022-12-07,13:02:26,China,skyrider_sword,3,21,Character Event,player_bc0074db6c,301,8
2022-12-07,13:12:19,China,faruzan,4,22,Character Event,player_bc0074db6c,301,9
2022-12-07,13:12:25,China,thrilling_tales_of_dragon_slayers,3,23,Character Event,player_bc0074db6c,301,1
2022-12-07,13:12:28,China,bloodtainted_greatsword,3,24,Character Event,player_bc0074db6c,301,2
2022-12-07,14:34:02,China,magic_guide,3,25,Character Event,player_bc0074db6c,301,3
2022-12-07,14:34:10,China,bloodtainted_greatsword,3,26,Character Event,player_bc0074db6c,301,4
2022-12-07,15:01:47,China,sacrificial_greatsword,4,27,Character Event,player_bc0074db6c,301,5
2022-12-08,11:56:13,China,raven_bow,3,28,Character Event,player_bc0074db6c,301,1
2022-12-10,10:19:42,China,slingshot,3,29,Character Event,player_bc0074db6c,301,2
2022-12-10,10:19:55,China,skyrider_sword,3,30,Character Event,player_bc0074db6c,301,3
2022-12-10,10:19:58,China,black_tassel,3,31,Character Event,player_bc0074db6c,301,4
2022-12-11,09:45:24,China,cool_steel,3,32,Character Event,player_bc0074db6c,301,5
2022-12-11,10:05:20,China,black_tassel,3,33,Character Event,player_bc0074db6c,301,6
2022-12-12,09:55:59,China,harbinger_of_dawn,3,34,Character Event,player_bc0074db6c,301,7
2022-12-13,09:35:22,China,skyrider_sword,3,35,Character Event,player_bc0074db6c,301,8
2022-12-13,09:35:26,China,thrilling_tales_of_dragon_slayers,3,36,Character Event,player_bc0074db6c,301,9
2022-12-13,09:41:46,China,yanfei,4,37,Character Event,player_bc0074db6c,301,10
2022-12-14,10:25:32,China,thrilling_tales_of_dragon_slayers,3,38,Character Event,player_bc0074db6c,301,1
2022-12-14,10:25:36,China,ferrous_shadow,3,39,Character Event,player_bc0074db6c,301,2
2022-12-14,15:50:13,China,raven_bow,3,40,Character Event,player_bc0074db6c,301,3
2022-12-15,13:45:55,China,slingshot,3,3,Standard,player_bc0074db6c,200,3
2022-12-15,13:45:59,China,ferrous_shadow,3,4,Standard,player_bc0074db6c,200,4
2022-12-15,13:46:04,China,harbinger_of_dawn,3,41,Character Event,player_bc0074db6c,301,4
2022-12-16,17:44:36,China,slingshot,3,42,Character Event,player_bc0074db6c,301,5
2022-12-16,17:44:39,China,skyrider_sword,3,43,Character Event,player_bc0074db6c,301,6
2022-12-16,17:44:42,China,raven_bow,3,44,Character Event,player_bc0074db6c,301,7
2022-12-16,17:44:45,China,skyrider_sword,3,45,Character Event,player_bc0074db6c,301,8
2022-12-16,17:44:53,China,faruzan,4,46,Character Event,player_bc0074db6c,301,9
2022-12-17,20:58:18,China,magic_guide,3,47,Character Event,player_bc0074db6c,301,1
